,0
"(4, 1, 276264)",1.1786299999999998
"(4, 1, 276265)",1.0892700000000002
"(4, 1, 276268)",1.13495
"(4, 1, 276269)",1.03754
"(4, 1, 276737)",1.5996
"(4, 1, 276738)",1.42386
"(4, 2, 276183)",1.01811
"(4, 2, 276184)",1.01899
"(4, 2, 275911)",1.0535
"(4, 2, 275912)",1.04921
"(4, 2, 276240)",1.10725
"(4, 2, 276241)",1.096
"(4, 2, 276264)",1.17202
"(4, 2, 276265)",1.04977
"(4, 2, 276268)",1.09158
"(4, 2, 276269)",1.05649
"(4, 2, 276737)",1.73045
"(4, 2, 276738)",1.63296
"(5, 0, 276183)",1.02447
"(5, 0, 276184)",1.02306
"(5, 0, 275911)",1.04555
"(5, 0, 275912)",1.04687
"(5, 0, 276240)",1.08863
"(5, 0, 276241)",1.07724
"(5, 0, 276264)",1.24653
"(5, 0, 276265)",1.08303
"(5, 0, 276268)",1.07546
"(5, 0, 276269)",1.05557
"(5, 0, 276737)",1.8107
"(5, 0, 276738)",1.57653
"(5, 1, 276183)",1.02456
"(5, 1, 276184)",1.01483
"(5, 1, 275911)",1.05089
"(5, 1, 275912)",1.03657
"(5, 1, 276240)",1.06397
"(5, 1, 276241)",1.07861
"(5, 1, 276264)",1.20167
"(5, 1, 276265)",1.10175
"(5, 1, 276268)",1.07112
"(5, 1, 276269)",1.08001
"(5, 1, 276737)",2.10293
"(5, 1, 276738)",1.52263
"(5, 2, 276183)",1.01514
"(5, 2, 276184)",1.01881
"(5, 2, 275911)",1.04054
"(5, 2, 275912)",1.04911
"(5, 2, 276240)",1.07991
"(5, 2, 276241)",1.09039
"(5, 2, 276264)",1.19248
"(5, 2, 276265)",1.0704
"(5, 2, 276268)",1.10524
"(5, 2, 276269)",1.08172
"(5, 2, 276737)",1.76255
"(5, 2, 276738)",1.53003
"(6, 0, 276183)",1.02906
"(6, 0, 276184)",1.03554
"(6, 0, 275911)",1.05696
"(6, 0, 275912)",1.06713
"(6, 0, 276240)",1.0551
"(6, 0, 276241)",1.08402
"(6, 0, 276264)",1.24009
"(6, 0, 276265)",1.10991
"(6, 0, 276268)",1.11455
"(6, 0, 276269)",1.06969
"(6, 0, 276737)",1.81271
"(6, 0, 276738)",1.52593
"(6, 1, 276183)",1.02829
"(6, 1, 276184)",1.03234
"(6, 1, 275911)",1.06589
"(6, 1, 275912)",1.0652700000000002
"(6, 1, 276240)",1.08445
"(6, 1, 276241)",1.08958
"(6, 1, 276264)",1.25306
"(6, 1, 276265)",1.11489
"(6, 1, 276268)",1.10394
"(6, 1, 276269)",1.05359
"(6, 1, 276737)",1.7750400000000002
"(6, 1, 276738)",1.7150599999999998
"(6, 2, 276183)",1.03148
"(6, 2, 276184)",1.02417
"(6, 2, 275911)",1.07289
"(6, 2, 275912)",1.05934
"(6, 2, 276240)",1.09069
"(6, 2, 276241)",1.09664
"(6, 2, 276264)",1.23234
"(6, 2, 276265)",1.10463
"(6, 2, 276268)",1.10585
"(6, 2, 276269)",1.09903
"(6, 2, 276737)",1.75942
"(6, 2, 276738)",1.81223
"(7, 0, 276183)",1.0338200000000002
"(7, 0, 276184)",1.02111
"(7, 0, 275911)",1.07019
"(7, 0, 275912)",1.06961
"(7, 0, 276240)",1.0976
"(7, 0, 276241)",1.09292
"(7, 0, 276264)",1.21484
"(7, 0, 276265)",1.13943
"(7, 0, 276268)",1.08542
"(7, 0, 276269)",1.0707799999999998
"(7, 0, 276737)",1.7825400000000002
"(7, 0, 276738)",1.75398
"(7, 1, 276183)",1.02325
"(7, 1, 276184)",1.04226
"(7, 1, 275911)",1.07543
"(7, 1, 275912)",1.05782
"(7, 1, 276240)",1.08711
"(7, 1, 276241)",1.06669
"(7, 1, 276264)",1.22293
"(7, 1, 276265)",1.12229
"(7, 1, 276268)",1.10377
"(7, 1, 276269)",1.08045
"(7, 1, 276737)",1.7940200000000002
"(7, 1, 276738)",1.9275400000000005
"(7, 2, 276183)",1.03552
"(7, 2, 276184)",1.04477
"(7, 2, 275911)",1.06744
"(7, 2, 275912)",1.07145
"(7, 2, 276240)",1.0693700000000002
"(7, 2, 276241)",1.06576
"(7, 2, 276264)",1.18496
"(7, 2, 276265)",1.10494
"(7, 2, 276268)",1.08819
"(7, 2, 276269)",1.07132
"(7, 2, 276737)",1.74913
"(7, 2, 276738)",1.86911
"(8, 0, 276183)",1.04567
"(8, 0, 276184)",1.04138
"(8, 0, 275911)",1.06766
"(8, 0, 275912)",1.06335
"(8, 0, 276240)",1.10043
"(8, 0, 276241)",1.07836
"(8, 0, 276264)",1.17173
"(8, 0, 276265)",1.09178
"(8, 0, 276268)",1.11456
"(8, 0, 276269)",1.0529700000000002
"(8, 0, 276737)",1.6952200000000002
"(8, 0, 276738)",1.56554
"(8, 1, 276183)",1.05925
"(8, 1, 276184)",1.04143
"(8, 1, 275911)",1.0648799999999998
"(8, 1, 275912)",1.04832
"(8, 1, 276240)",1.12887
"(8, 1, 276241)",1.07463
"(8, 1, 276264)",1.26417
"(8, 1, 276265)",1.14051
"(8, 1, 276268)",1.0636
"(8, 1, 276269)",1.0923200000000002
"(8, 1, 276737)",1.8602
"(8, 1, 276738)",1.6358
"(8, 2, 276183)",1.04738
"(8, 2, 276184)",1.04535
"(8, 2, 275911)",1.08417
"(8, 2, 275912)",1.05833
"(8, 2, 276240)",1.13391
"(8, 2, 276241)",1.12278
"(8, 2, 276264)",1.1722
"(8, 2, 276265)",1.0809799999999998
"(8, 2, 276268)",1.03817
"(8, 2, 276269)",1.09269
"(8, 2, 276737)",1.78486
"(8, 2, 276738)",1.7314200000000002
"(9, 0, 276183)",1.03598
"(9, 0, 276184)",1.03053
"(9, 0, 275911)",1.06686
"(9, 0, 275912)",1.05164
"(9, 0, 276240)",1.08851
"(9, 0, 276241)",1.11094
"(9, 0, 276264)",1.18182
"(9, 0, 276265)",1.09514
"(9, 0, 276268)",1.09257
"(9, 0, 276269)",1.07194
"(9, 0, 276737)",1.75965
"(9, 0, 276738)",1.6735
"(9, 1, 276183)",1.03896
"(9, 1, 276184)",1.01644
"(9, 1, 275911)",1.07208
"(9, 1, 275912)",1.0606
"(9, 1, 276240)",1.09133
"(9, 1, 276241)",1.08522
"(9, 1, 276264)",1.18779
"(9, 1, 276265)",1.10232
"(9, 1, 276268)",1.10781
"(9, 1, 276269)",1.06277
"(9, 1, 276737)",1.82786
"(9, 1, 276738)",1.57227
"(9, 2, 276183)",1.03142
"(9, 2, 276184)",1.02938
"(9, 2, 275911)",1.07001
"(9, 2, 275912)",1.05192
"(9, 2, 276240)",1.14473
"(9, 2, 276241)",1.09406
"(9, 2, 276264)",1.21223
"(9, 2, 276265)",1.11222
"(9, 2, 276268)",1.09112
"(9, 2, 276269)",1.06909
"(9, 2, 276737)",1.67408
"(9, 2, 276738)",1.49328
"(10, 0, 276183)",1.05337
"(10, 0, 276184)",1.04799
"(10, 0, 275911)",1.07709
"(10, 0, 275912)",1.06631
"(10, 0, 276240)",1.14509
"(10, 0, 276241)",1.08634
"(10, 0, 276264)",1.1982
"(10, 0, 276265)",1.16847
"(10, 0, 276268)",1.0986200000000002
"(10, 0, 276269)",1.10123
"(10, 0, 276737)",2.1116200000000003
"(10, 0, 276738)",1.85779
"(10, 1, 276183)",1.05223
"(10, 1, 276184)",1.03491
"(10, 1, 275911)",1.08246
"(10, 1, 275912)",1.05706
"(10, 1, 276240)",1.1433
"(10, 1, 276241)",1.08155
"(10, 1, 276264)",1.21796
"(10, 1, 276265)",1.13639
"(10, 1, 276268)",1.1375
"(10, 1, 276269)",1.13263
"(10, 1, 276737)",1.80464
"(10, 1, 276738)",1.80668
"(10, 2, 276183)",1.0686
"(10, 2, 276184)",1.04914
"(10, 2, 275911)",1.08278
"(10, 2, 275912)",1.06062
"(10, 2, 276240)",1.09431
"(10, 2, 276241)",1.12274
"(10, 2, 276264)",1.17275
"(10, 2, 276265)",1.12409
"(10, 2, 276268)",1.14268
"(10, 2, 276269)",1.15569
"(10, 2, 276737)",1.7389
"(10, 2, 276738)",1.82453
"(11, 0, 276183)",1.07036
"(11, 0, 276184)",1.03853
"(11, 0, 275911)",1.06767
"(11, 0, 275912)",1.07163
"(11, 0, 276240)",1.11779
"(11, 0, 276241)",1.16841
"(11, 0, 276264)",1.19906
"(11, 0, 276265)",1.11485
"(11, 0, 276268)",1.16786
"(11, 0, 276269)",1.07655
"(11, 0, 276737)",1.73026
"(11, 0, 276738)",1.7085099999999998
"(11, 1, 276183)",1.06051
"(11, 1, 276184)",1.02454
"(11, 1, 275911)",1.06042
"(11, 1, 275912)",1.07525
"(11, 1, 276240)",1.1374
"(11, 1, 276241)",1.14626
"(11, 1, 276264)",1.19003
"(11, 1, 276265)",1.09625
"(11, 1, 276268)",1.1229
"(11, 1, 276269)",1.07064
"(11, 1, 276737)",1.7311
"(11, 1, 276738)",1.69577
"(11, 2, 276183)",1.0711700000000002
"(11, 2, 276184)",1.02279
"(11, 2, 275911)",1.09831
"(11, 2, 275912)",1.05165
"(11, 2, 276240)",1.14744
"(11, 2, 276241)",1.12909
"(11, 2, 276264)",1.17352
"(11, 2, 276265)",1.13961
"(11, 2, 276268)",1.12431
"(11, 2, 276269)",1.11679
"(11, 2, 276737)",1.70491
"(11, 2, 276738)",1.78547
"(12, 0, 276183)",1.05432
"(12, 0, 276184)",1.04499
"(12, 0, 275911)",1.08735
"(12, 0, 275912)",1.06331
"(12, 0, 276240)",1.11178
"(12, 0, 276241)",1.16862
"(12, 0, 276264)",1.15495
"(12, 0, 276265)",1.08681
"(12, 0, 276268)",1.14782
"(12, 0, 276269)",1.23237
"(12, 0, 276737)",1.47869
"(12, 0, 276738)",1.49874
"(12, 1, 276183)",1.05949
"(12, 1, 276184)",1.04303
"(12, 1, 275911)",1.09323
"(12, 1, 275912)",1.08046
"(12, 1, 276240)",1.13302
"(12, 1, 276241)",1.19482
"(12, 1, 276264)",1.20884
"(12, 1, 276265)",1.15967
"(12, 1, 276268)",1.19215
"(12, 1, 276269)",1.13611
"(12, 1, 276737)",1.7981900000000002
"(12, 1, 276738)",1.58726
"(12, 2, 276183)",1.07402
"(12, 2, 276184)",1.04335
"(12, 2, 275911)",1.07751
"(12, 2, 275912)",1.08148
"(12, 2, 276240)",1.17298
"(12, 2, 276241)",1.12241
"(12, 2, 276264)",1.24766
"(12, 2, 276265)",1.10151
"(12, 2, 276268)",1.14854
"(12, 2, 276269)",1.0733
"(12, 2, 276737)",1.76872
"(12, 2, 276738)",1.8247400000000005
"(13, 0, 276183)",1.06041
"(13, 0, 276184)",1.03055
"(13, 0, 275911)",1.08983
"(13, 0, 275912)",1.05353
"(13, 0, 276240)",1.16079
"(13, 0, 276241)",1.11162
"(13, 0, 276264)",1.13211
"(13, 0, 276265)",1.12193
"(13, 0, 276268)",1.09995
"(13, 0, 276269)",1.08143
"(13, 0, 276737)",1.7643799999999998
"(13, 0, 276738)",1.81317
"(13, 1, 276183)",1.05655
"(13, 1, 276184)",1.03334
"(13, 1, 275911)",1.09513
"(13, 1, 275912)",1.05644
"(13, 1, 276240)",1.10948
"(13, 1, 276241)",1.10194
"(13, 1, 276264)",1.22906
"(13, 1, 276265)",1.11241
"(13, 1, 276268)",1.10925
"(13, 1, 276269)",1.10569
"(13, 1, 276737)",1.4352200000000002
"(13, 1, 276738)",1.394
"(13, 2, 276183)",1.06085
"(13, 2, 276184)",1.0661200000000002
"(13, 2, 275911)",1.0717299999999998
"(13, 2, 275912)",1.0542200000000002
"(13, 2, 276240)",1.14618
"(13, 2, 276241)",1.13407
"(13, 2, 276264)",1.20552
"(13, 2, 276265)",1.14883
"(13, 2, 276268)",1.11482
"(13, 2, 276269)",1.0854700000000002
"(13, 2, 276737)",1.50742
"(13, 2, 276738)",1.3352
"(0, 0, 276183)",0.992721
"(0, 0, 276184)",0.995543
"(0, 0, 275911)",1.01958
"(0, 0, 275912)",1.01474
"(0, 0, 276240)",1.08023
"(0, 0, 276241)",1.11788
"(0, 0, 276264)",1.15084
"(0, 0, 276265)",1.07402
"(0, 0, 276268)",1.10698
"(0, 0, 276269)",1.0405799999999998
"(0, 0, 276737)",1.54906
"(0, 0, 276738)",1.40364
"(0, 1, 276183)",0.991699
"(0, 1, 276184)",0.982128
"(0, 1, 275911)",1.05019
"(0, 1, 275912)",1.03303
"(0, 1, 276240)",1.09359
"(0, 1, 276241)",1.11055
"(0, 1, 276264)",1.18455
"(0, 1, 276265)",1.0697
"(0, 1, 276268)",1.12646
"(0, 1, 276269)",1.05788
"(0, 1, 276737)",1.53205
"(0, 1, 276738)",1.37552
"(0, 2, 276183)",0.99751
"(0, 2, 276184)",0.99464
"(0, 2, 275911)",1.02853
"(0, 2, 275912)",1.03678
"(0, 2, 276240)",1.06558
"(0, 2, 276241)",1.10258
"(0, 2, 276264)",1.18321
"(0, 2, 276265)",1.05789
"(0, 2, 276268)",1.06854
"(0, 2, 276269)",1.21901
"(0, 2, 276737)",1.59449
"(0, 2, 276738)",1.41283
"(1, 0, 276183)",0.990245
"(1, 0, 276184)",0.992877
"(1, 0, 275911)",1.0317
"(1, 0, 275912)",1.02465
"(1, 0, 276240)",1.04674
"(1, 0, 276241)",1.08426
"(1, 0, 276264)",1.17355
"(1, 0, 276265)",1.05382
"(1, 0, 276268)",1.06046
"(1, 0, 276269)",1.13514
"(1, 0, 276737)",1.49565
"(1, 0, 276738)",1.28227
"(1, 1, 276183)",0.991857
"(1, 1, 276184)",0.985937
"(1, 1, 275911)",1.04331
"(1, 1, 275912)",1.0268
"(1, 1, 276240)",1.08307
"(1, 1, 276241)",1.06909
"(1, 1, 276264)",1.17307
"(1, 1, 276265)",1.08496
"(1, 1, 276268)",1.06662
"(1, 1, 276269)",1.11477
"(1, 1, 276737)",1.44519
"(1, 1, 276738)",1.42436
"(1, 2, 276183)",1.00354
"(1, 2, 276184)",0.993463
"(1, 2, 275911)",1.04164
"(1, 2, 275912)",1.0497
"(1, 2, 276240)",1.14835
"(1, 2, 276241)",1.0580200000000002
"(1, 2, 276264)",1.14337
"(1, 2, 276265)",1.1076
"(1, 2, 276268)",1.06122
"(1, 2, 276269)",1.07044
"(1, 2, 276737)",1.36226
"(1, 2, 276738)",1.254
"(2, 0, 276183)",1.00816
"(2, 0, 276184)",1.01762
"(2, 0, 275911)",1.02141
"(2, 0, 275912)",1.04277
"(2, 0, 276240)",1.09399
"(2, 0, 276241)",1.08321
"(2, 0, 276264)",1.15168
"(2, 0, 276265)",1.09873
"(2, 0, 276268)",1.0234
"(2, 0, 276269)",1.03647
"(2, 0, 276737)",1.50424
"(2, 0, 276738)",1.3851
"(2, 1, 276183)",1.01707
"(2, 1, 276184)",1.00617
"(2, 1, 275911)",1.06112
"(2, 1, 275912)",1.06369
"(2, 1, 276240)",1.11369
"(2, 1, 276241)",1.06398
"(2, 1, 276264)",1.15317
"(2, 1, 276265)",1.07748
"(2, 1, 276268)",1.06571
"(2, 1, 276269)",1.04215
"(2, 1, 276737)",1.61425
"(2, 1, 276738)",1.36174
"(2, 2, 276183)",1.01883
"(2, 2, 276184)",1.01978
"(2, 2, 275911)",1.05142
"(2, 2, 275912)",1.0659
"(2, 2, 276240)",1.11764
"(2, 2, 276241)",1.06902
"(2, 2, 276264)",1.14392
"(2, 2, 276265)",1.06152
"(2, 2, 276268)",0.997758
"(2, 2, 276269)",1.10804
"(2, 2, 276737)",1.50893
"(2, 2, 276738)",1.30848
"(3, 0, 276183)",1.01213
"(3, 0, 276184)",1.01661
"(3, 0, 275911)",1.03979
"(3, 0, 275912)",1.04165
"(3, 0, 276240)",1.12578
"(3, 0, 276241)",1.0910799999999998
"(3, 0, 276264)",1.17499
"(3, 0, 276265)",1.07418
"(3, 0, 276268)",1.04263
"(3, 0, 276269)",1.1054700000000002
"(3, 0, 276737)",1.47488
"(3, 0, 276738)",1.32594
"(3, 1, 276183)",1.01891
"(3, 1, 276184)",1.01662
"(3, 1, 275911)",1.04692
"(3, 1, 275912)",1.04295
"(3, 1, 276240)",1.12311
"(3, 1, 276241)",1.09195
"(3, 1, 276264)",1.20192
"(3, 1, 276265)",1.08466
"(3, 1, 276268)",1.08855
"(3, 1, 276269)",1.0775
"(3, 1, 276737)",1.61345
"(3, 1, 276738)",1.39462
"(3, 2, 276183)",1.02795
"(3, 2, 276184)",1.00475
"(3, 2, 275911)",1.06381
"(3, 2, 275912)",1.04419
"(3, 2, 276240)",1.12347
"(3, 2, 276241)",1.08923
"(3, 2, 276264)",1.2138799999999998
"(3, 2, 276265)",1.05326
"(3, 2, 276268)",1.0624
"(3, 2, 276269)",1.04646
"(3, 2, 276737)",1.61972
"(3, 2, 276738)",1.45855
"(4, 0, 276183)",1.01214
"(4, 0, 276184)",0.986506
"(4, 0, 275911)",1.03425
"(4, 0, 275912)",1.02931
"(4, 0, 276240)",1.06653
"(4, 0, 276241)",1.02196
"(4, 0, 276264)",1.17289
"(4, 0, 276265)",1.06345
"(4, 0, 276268)",1.04127
"(4, 0, 276269)",1.02224
"(4, 0, 276737)",1.49882
"(4, 0, 276738)",1.33163
"(4, 1, 276183)",0.999507
"(4, 1, 276184)",0.998216
"(4, 1, 275911)",1.0056
"(4, 1, 275912)",1.03009
"(4, 1, 276240)",1.10849
"(4, 1, 276241)",1.0396299999999998
"(4, 1, 276264)",1.19631
"(4, 1, 276265)",1.05848
"(4, 1, 276268)",1.1352799999999998
"(4, 1, 276269)",1.07509
"(4, 1, 276737)",1.36699
"(4, 1, 276738)",1.4704700000000002
"(4, 2, 276183)",0.987409
"(4, 2, 276184)",0.990688
"(4, 2, 275911)",1.03419
"(4, 2, 275912)",1.03819
"(4, 2, 276240)",1.1147200000000002
"(4, 2, 276241)",1.08293
"(4, 2, 276264)",1.16455
"(4, 2, 276265)",1.10598
"(4, 2, 276268)",1.1606
"(4, 2, 276269)",1.04255
"(4, 2, 276737)",1.44365
"(4, 2, 276738)",1.30524
"(5, 0, 276183)",0.998436
"(5, 0, 276184)",0.994769
"(5, 0, 275911)",1.02614
"(5, 0, 275912)",1.01678
"(5, 0, 276240)",1.08146
"(5, 0, 276241)",1.05774
"(5, 0, 276264)",1.14389
"(5, 0, 276265)",1.0944200000000002
"(5, 0, 276268)",1.06701
"(5, 0, 276269)",1.04821
"(5, 0, 276737)",1.58519
"(5, 0, 276738)",1.31322
"(5, 1, 276183)",0.997255
"(5, 1, 276184)",1.00398
"(5, 1, 275911)",1.0206
"(5, 1, 275912)",1.01999
"(5, 1, 276240)",1.07072
"(5, 1, 276241)",1.07148
"(5, 1, 276264)",1.17732
"(5, 1, 276265)",1.09111
"(5, 1, 276268)",1.04692
"(5, 1, 276269)",1.0584
"(5, 1, 276737)",1.53116
"(5, 1, 276738)",1.35237
"(5, 2, 276183)",1.00784
"(5, 2, 276184)",0.99602
"(5, 2, 275911)",1.0322
"(5, 2, 275912)",1.04295
"(5, 2, 276240)",1.10819
"(5, 2, 276241)",1.09221
"(5, 2, 276264)",1.1558
"(5, 2, 276265)",1.08724
"(5, 2, 276268)",1.0775
"(5, 2, 276269)",1.06598
"(5, 2, 276737)",1.50745
"(5, 2, 276738)",1.41346
"(6, 0, 276183)",1.01636
"(6, 0, 276184)",0.992854
"(6, 0, 275911)",1.02539
"(6, 0, 275912)",1.04155
"(6, 0, 276240)",1.06257
"(6, 0, 276241)",1.06448
"(6, 0, 276264)",1.13287
"(6, 0, 276265)",1.08588
"(6, 0, 276268)",1.10471
"(6, 0, 276269)",1.12057
"(6, 0, 276737)",1.58013
"(6, 0, 276738)",1.4419
"(6, 1, 276183)",0.999562
"(6, 1, 276184)",1.00464
"(6, 1, 275911)",1.02631
"(6, 1, 275912)",1.03159
"(6, 1, 276240)",1.07863
"(6, 1, 276241)",1.08153
"(6, 1, 276264)",1.16687
"(6, 1, 276265)",1.09431
"(6, 1, 276268)",1.11363
"(6, 1, 276269)",1.05928
"(6, 1, 276737)",1.43464
"(6, 1, 276738)",1.36474
"(6, 2, 276183)",1.00834
"(6, 2, 276184)",1.00491
"(6, 2, 275911)",1.03485
"(6, 2, 275912)",1.04215
"(6, 2, 276240)",1.098
"(6, 2, 276241)",1.07683
"(6, 2, 276264)",1.1491
"(6, 2, 276265)",1.05533
"(6, 2, 276268)",1.03271
"(6, 2, 276269)",1.02574
"(6, 2, 276737)",1.58238
"(6, 2, 276738)",1.38541
"(7, 0, 276183)",1.00967
"(7, 0, 276184)",1.00597
"(7, 0, 275911)",1.02817
"(7, 0, 275912)",1.03059
"(7, 0, 276240)",1.0505
"(7, 0, 276241)",1.06654
"(7, 0, 276264)",1.16534
"(7, 0, 276265)",1.0914700000000002
"(7, 0, 276268)",1.06851
"(7, 0, 276269)",1.05623
"(7, 0, 276737)",1.48088
"(7, 0, 276738)",1.37881
"(7, 1, 276183)",1.01076
"(7, 1, 276184)",1.00752
"(7, 1, 275911)",1.05093
"(7, 1, 275912)",1.0361200000000002
"(7, 1, 276240)",1.10302
"(7, 1, 276241)",1.0608
"(7, 1, 276264)",1.1639
"(7, 1, 276265)",1.082
"(7, 1, 276268)",1.13908
"(7, 1, 276269)",1.06986
"(7, 1, 276737)",1.48365
"(7, 1, 276738)",1.48811
"(7, 2, 276183)",0.99815
"(7, 2, 276184)",1.0168700000000002
"(7, 2, 275911)",1.02628
"(7, 2, 275912)",1.03184
"(7, 2, 276240)",1.05082
"(7, 2, 276241)",1.06616
"(7, 2, 276264)",1.1080299999999998
"(7, 2, 276265)",1.05946
"(7, 2, 276268)",1.10698
"(7, 2, 276269)",1.06226
"(7, 2, 276737)",1.51095
"(7, 2, 276738)",1.4855200000000002
"(8, 0, 276183)",1.01691
"(8, 0, 276184)",0.997304
"(8, 0, 275911)",1.03785
"(8, 0, 275912)",1.0357
"(8, 0, 276240)",1.0751
"(8, 0, 276241)",1.04198
"(8, 0, 276264)",1.2192
"(8, 0, 276265)",1.07308
"(8, 0, 276268)",1.02817
"(8, 0, 276269)",1.06007
"(8, 0, 276737)",1.44634
"(8, 0, 276738)",1.23826
"(8, 1, 276183)",1.00679
"(8, 1, 276184)",0.993649
"(8, 1, 275911)",1.02532
"(8, 1, 275912)",1.0249
"(8, 1, 276240)",1.08067
"(8, 1, 276241)",1.03895
"(8, 1, 276264)",1.14619
"(8, 1, 276265)",1.06374
"(8, 1, 276268)",1.03262
"(8, 1, 276269)",1.04655
"(8, 1, 276737)",1.36866
"(8, 1, 276738)",1.294
"(8, 2, 276183)",1.00023
"(8, 2, 276184)",0.987317
"(8, 2, 275911)",1.04222
"(8, 2, 275912)",1.0346
"(8, 2, 276240)",1.10209
"(8, 2, 276241)",1.08012
"(8, 2, 276264)",1.09344
"(8, 2, 276265)",1.07507
"(8, 2, 276268)",1.03917
"(8, 2, 276269)",1.05067
"(8, 2, 276737)",1.26569
"(8, 2, 276738)",1.31626
"(9, 0, 276183)",1.01556
"(9, 0, 276184)",0.992282
"(9, 0, 275911)",1.05076
"(9, 0, 275912)",1.03072
"(9, 0, 276240)",1.06956
"(9, 0, 276241)",1.09539
"(9, 0, 276264)",1.10102
"(9, 0, 276265)",1.0532
"(9, 0, 276268)",1.05946
"(9, 0, 276269)",1.02381
"(9, 0, 276737)",1.38827
"(9, 0, 276738)",1.41171
"(9, 1, 276183)",1.01117
"(9, 1, 276184)",0.99925
"(9, 1, 275911)",1.02902
"(9, 1, 275912)",1.02556
"(9, 1, 276240)",1.08724
"(9, 1, 276241)",1.04443
"(9, 1, 276264)",1.12735
"(9, 1, 276265)",1.07089
"(9, 1, 276268)",1.08381
"(9, 1, 276269)",1.08252
"(9, 1, 276737)",1.28917
"(9, 1, 276738)",1.29994
"(9, 2, 276183)",1.00411
"(9, 2, 276184)",0.99605
"(9, 2, 275911)",1.00416
"(9, 2, 275912)",1.0267700000000002
"(9, 2, 276240)",1.00774
"(9, 2, 276241)",1.00865
"(9, 2, 276264)",1.11402
"(9, 2, 276265)",1.04695
"(9, 2, 276268)",1.01985
"(9, 2, 276269)",1.09121
"(9, 2, 276737)",1.38713
"(9, 2, 276738)",1.36076
"(10, 0, 276183)",1.01565
"(10, 0, 276184)",0.988993
"(10, 0, 275911)",1.00439
"(10, 0, 275912)",1.0336
"(10, 0, 276240)",1.08994
"(10, 0, 276241)",1.03312
"(10, 0, 276264)",1.15157
"(10, 0, 276265)",1.03691
"(10, 0, 276268)",0.969524
"(10, 0, 276269)",1.18229
"(10, 0, 276737)",1.59288
"(10, 0, 276738)",1.34959
"(10, 1, 276183)",1.01541
"(10, 1, 276184)",1.03451
"(10, 1, 275911)",1.01857
"(10, 1, 275912)",1.01352
"(10, 1, 276240)",1.04745
"(10, 1, 276241)",1.0788
"(10, 1, 276264)",1.1413
"(10, 1, 276265)",1.03038
"(10, 1, 276268)",1.02682
"(10, 1, 276269)",1.05257
"(10, 1, 276737)",1.5306
"(10, 1, 276738)",1.4216799999999998
"(10, 2, 276183)",1.01202
"(10, 2, 276184)",1.01698
"(10, 2, 275911)",1.00806
"(10, 2, 275912)",0.993848
"(10, 2, 276240)",1.18125
"(10, 2, 276241)",1.08792
"(10, 2, 276264)",1.19721
"(10, 2, 276265)",1.04197
"(10, 2, 276268)",1.06208
"(10, 2, 276269)",1.00225
"(10, 2, 276737)",1.29467
"(10, 2, 276738)",1.6373
"(11, 0, 276183)",1.01561
"(11, 0, 276184)",1.03654
"(11, 0, 275911)",1.03238
"(11, 0, 275912)",1.014
"(11, 0, 276240)",1.13379
"(11, 0, 276241)",1.09588
"(11, 0, 276264)",1.15393
"(11, 0, 276265)",1.03679
"(11, 0, 276268)",0.996738
"(11, 0, 276269)",1.02016
"(11, 0, 276737)",1.3521
"(11, 0, 276738)",1.43489
"(11, 1, 276183)",1.03264
"(11, 1, 276184)",1.02292
"(11, 1, 275911)",1.04267
"(11, 1, 275912)",1.01514
"(11, 1, 276240)",1.10808
"(11, 1, 276241)",1.08469
"(11, 1, 276264)",1.17242
"(11, 1, 276265)",1.02288
"(11, 1, 276268)",1.05508
"(11, 1, 276269)",1.00578
"(11, 1, 276737)",1.20776
"(11, 1, 276738)",1.2182
"(11, 2, 276183)",1.04508
"(11, 2, 276184)",1.01127
"(11, 2, 275911)",1.03076
"(11, 2, 275912)",1.0390700000000002
"(11, 2, 276240)",1.10489
"(11, 2, 276241)",1.09389
"(11, 2, 276264)",1.15153
"(11, 2, 276265)",1.0419
"(11, 2, 276268)",0.980687
"(11, 2, 276269)",1.18048
"(11, 2, 276737)",1.50261
"(11, 2, 276738)",1.2146
"(12, 0, 276183)",1.01705
"(12, 0, 276184)",1.0339
"(12, 0, 275911)",1.04647
"(12, 0, 275912)",1.05232
"(12, 0, 276240)",1.08551
"(12, 0, 276241)",1.04818
"(12, 0, 276264)",1.11591
"(12, 0, 276265)",1.06669
"(12, 0, 276268)",1.03826
"(12, 0, 276269)",1.11723
"(12, 0, 276737)",1.22841
"(12, 0, 276738)",1.14552
"(12, 1, 276183)",1.04459
"(12, 1, 276184)",1.02795
"(12, 1, 275911)",1.0431
"(12, 1, 275912)",1.04429
"(12, 1, 276240)",1.1818799999999998
"(12, 1, 276241)",1.14662
"(12, 1, 276264)",1.0812
"(12, 1, 276265)",1.10873
"(12, 1, 276268)",1.03332
"(12, 1, 276269)",1.10359
"(12, 1, 276737)",1.48359
"(12, 1, 276738)",1.29263
"(12, 2, 276183)",1.03301
"(12, 2, 276184)",1.02299
"(12, 2, 275911)",1.05129
"(12, 2, 275912)",1.02942
"(12, 2, 276240)",1.16721
"(12, 2, 276241)",1.12887
"(12, 2, 276264)",1.12984
"(12, 2, 276265)",1.09755
"(12, 2, 276268)",1.07133
"(12, 2, 276269)",1.08411
"(12, 2, 276737)",1.46229
"(12, 2, 276738)",1.4079
"(13, 0, 276183)",1.02981
"(13, 0, 276184)",1.02002
